SPBP4H10.15	ACO2(C)
SPAC1F3.02c	NONE
SPAC1F3.03	STXBP5|STXBP5L
SPAC1F3.04c	TSR3
SPAC1F3.05	TOM1|TOM1L1|TOM1L2
SPAC1F3.06c	NONE
SPAC1F3.07c	EN1|EN2
SPAC1F3.08c	NONE
SPAC1F3.09	CWF19L1
SPAC1F3.10c	MIPEP
SPAC1F5.02	P4HB|PDIA2|PDIA3|PDIA4
SPAC1F5.03c	NONE
SPAC1F5.04c	DIAPH1
SPAC1F5.05c	NONE
SPAC1F5.06	HYOU1
SPAC1F5.07c	PPOX
SPAC1F5.08c	NALF1|NALF2
SPAC1F5.09c	PAK1|PAK2|PAK3
SPAC1F5.10	EIF4A3
SPAC1F5.11c	TRRAP
SPAC1F7.01c	SUPT6H
SPAC1F7.02c	DDX18
SPAC1F7.03	NONE
SPAC1F7.04	RHOA|RHOB|RHOC
SPAC1F7.05	RRM1
SPAC1F7.06	NONE
SPAC1F7.07c	NONE
SPAC1F7.08	NONE
SPAC1F7.09c	ALLC
SPAC1F7.10	NONE
SPAC1F7.11c	NONE
SPAC1F7.12	NONE
SPAC1F7.13c	RPL8
SPAC1F7.14c	DMAC1
SPAC1F8.01	NONE
SPAC1F8.02c	NONE
SPAC1F8.03c	NONE
SPAC1F8.04c	NONE
SPAC1F8.05	NONE
SPAC1F8.06	NONE
SPAC1F8.07c	NONE
SPAC1F8.08	NONE
SPAC20G4.01	NONE
SPAC20G4.02c	DIAPH1
SPAC20G4.03c	EIF2AK2|EIF2AK3
SPAC20G4.04c	HUS1|HUS1B
SPAC20G4.05c	SELENOO
SPAC20G4.06c	CFL1|CFL2|DSTN
SPAC20G4.07c	DHCR7
SPAC20G4.08	EDC4
SPAC20G4.09	NONE
SPAC20G8.01	LIG1
SPAC20G8.02	DDHD1|DDHD2|SEC23IP
SPAC20G8.03	SLC2A13
SPAC20G8.04c	ETFDH
SPAC20G8.05c	PSTPIP1|PSTPIP2
SPAC20G8.06	CNOT1
SPAC20G8.07c	SIGMAR1
SPAC20G8.08c	SMARCAD1
SPAC20G8.09c	NAT10
SPAC20G8.10c	BECN1
SPAC20H4.01	WDR43
SPAC20H4.02	NONE
SPAC20H4.03c	TCEA1|TCEA2|TCEA3|TCEANC
SPAC20H4.04	FANCM
SPAC20H4.05c	APIP
SPAC20H4.06c	GPATCH1
SPAC20H4.07	XRCC3
SPAC20H4.08	GPATCH1
SPAC20H4.09	DHX35
SPAC20H4.10	UBE4B
SPAC20H4.11c	RHOA|RHOB|RHOC
SPAC212.01c	NONE
SPAC212.02	NONE
SPAC212.03	NONE
SPAC212.04c	NONE
SPAC212.06c	NONE
SPAC212.08c	NONE
SPAC212.11	NONE
SPAC212.12	NONE
SPAC21E11.03c	NONE
SPAC21E11.04	NONE
SPAC21E11.05c	PPIL2
SPAC21E11.06	EIF2B4
SPAC21E11.07	IBA57
SPAC21E11.08	SPTLC2|SPTLC3
SPAC222.03c	TIMM10
SPAC222.04c	INO80C
SPAC222.05c	GTPBP3
SPAC222.06	MAK16
SPAC222.07c	EIF2AK2|EIF2AK3
SPAC222.08c	NONE
SPAC222.09	SCAF8
SPAC222.10c	NONE
SPAC222.11	CPOX
SPAC222.12c	ATP5F1B
SPAC222.13c	PFKFB1|PFKFB2|PFKFB3|PFKFB4
SPAC222.14c	NONE
SPAC222.15	PSMC3IP
SPAC222.16c	COPS3
SPAC222.17	NONE
SPAC222.18	SRSF3
SPAC222.19	LAMTOR3
SPAC227.01c	NONE
SPAC227.02c	RRP15
SPAC227.03c	NONE
SPAC227.04	ATG10
SPAC227.05	PFDN4
SPAC227.06	YIPF1|YIPF2
SPAC227.07c	PPP2R2A|PPP2R2B|PPP2R2C|PPP2R2D
SPAC227.08c	CPSF4|CPSF4L
SPAC227.09	FPGS
SPAC227.10	PFDN2
SPAC227.11c	ERLEC1|OS9
SPAC227.12	PRPF4
SPAC227.13c	ISCU
SPAC227.14	NONE
SPAC227.15	NONE
SPAC227.16c	GINS3
SPAC227.17c	C22orf39
SPAC227.18	AASS
SPAC227.19c	PIGY
SPAC22A12.01c	DCLRE1A
SPAC22A12.02c	NONE
SPAC22A12.03c	COPS4
SPAC22A12.04c	RPS15A
SPAC22A12.05	POLR3K
SPAC22A12.06c	OVCA2|TSTD2
SPAC22A12.07c	POMT2
SPAC22A12.09c	SF3A1
SPAC22A12.10	CEPT1|CHPT1
SPAC22A12.11	TKFC
SPAC22A12.12c	EXOSC3
SPAC22A12.13	PIGP
SPAC22A12.14c	BSDC1
SPAC22A12.15c	HSPA5
SPAC22A12.16	ACLY
SPAC22A12.17c	NONE
SPAC22E12.01	SLC35H1
SPAC22E12.02	RBM42
SPAC22E12.03c	PARK7
SPAC22E12.04	CCS
SPAC22E12.05c	RER1
SPAC22E12.06c	NONE
SPAC22E12.07	RANGAP1
SPAC22E12.08	NONE
SPAC22E12.09c	FURIN|PCSK1|PCSK2|PCSK4|PCSK5|PCSK6|PCSK7
SPAC22E12.11c	KMT2E|SETD5
SPAC22E12.13c	RSL24D1
SPAC22E12.14c	AKT1|AKT2|SGK1|SGK2|SGK3
SPAC22E12.16c	PI4KB
SPAC22E12.17c	ARFGAP2|ARFGAP3
SPAC22E12.18	CCNDBP1
SPAC22E12.19	NCOR1
SPAC22F3.02	NONE
SPAC22F3.03c	RAD54B
SPAC22F3.04	DIP2A|DIP2B|DIP2C
SPAC22F3.05c	ARL2
SPAC22F3.06c	LONP1
SPAC22F3.07c	ATP5MG|ATP5MGL
SPAC22F3.08c	DDX52
SPAC22F3.09c	NONE
SPAC22F3.10c	GCLC
SPAC22F3.11c	ZMAT2
SPAC22F3.12c	NONE
SPAC22F3.13	TSC1
SPAC22F3.15	NONE
SPAC22F8.02c	NONE
SPAC22F8.03c	NONE
SPAC22F8.04	SLC35C1
SPAC22F8.05	NONE
SPAC22F8.06	PSMB1
SPAC22F8.07c	TTF1
SPAC22F8.08	SEC24A|SEC24B
SPAC22F8.09	NOP53
SPAC22F8.10c	SF3B2
SPAC22F8.11	PLCB1|PLCB2|PLCB3|PLCB4|PLCD1|PLCD3|PLCD4|PLCG1|PLCG2|PLCH1|PLCH2|PLCL1|PLCL2
SPAC22F8.12c	PPHLN1
SPAC22G7.01c	XPNPEP1|XPNPEP2
SPAC22G7.02	IPO13
SPAC22G7.03	NONE
SPAC22G7.04	PAN2
SPAC22G7.05	KRI1
SPAC22G7.06c	CAD
SPAC22G7.07c	METTL4
SPAC22G7.08	NONE
SPAC22G7.09c	NUP58
SPAC22G7.10	FIP1L1
SPAC22G7.11c	NONE
SPAC22H10.02	NONE
SPAC22H10.03c	IPO9
SPAC22H10.04	PPP3CA|PPP3CB|PPP3CC
SPAC22H10.05c	CLP1
SPAC22H10.06c	NONE
SPAC22H10.07	SH3PXD2A|SH3PXD2B
SPAC22H10.08	NONE
SPAC22H10.09	NONE
SPAC22H10.10	TBCE|TBCEL
SPAC22H10.11c	NONE
SPAC22H10.12c	GDI1|GDI2
SPAC22H10.13	NONE
SPAC22H12.01c	NONE
SPAC22H12.02	MLLT3|YEATS4
SPAC22H12.03	ABHD11
SPAC22H12.04c	RPS3A
SPAC22H12.05c	POSTN
SPAC23A1.02c	MPPE1
SPAC23A1.03	APRT
SPAC23A1.04c	EDEM1
SPAC23A1.05	SPTSSA
SPAC23A1.06c	NONE
SPAC23A1.07	RNF170
SPAC23A1.08c	RPL34
SPAC23A1.09	RBM8A
SPAC23A1.10	EEF1A1|EEF1A2
SPAC23A1.11	RPL13A
SPAC23A1.12c	FARSB
SPAC23A1.14c	NONE
SPAC23A1.15c	BNIP1
SPAC23A1.16c	RPAP2
SPAC23A1.17	NONE
SPAC23A1.18c	MRPS28
SPAC23A1.19c	RECQL4
SPAC23A1.20	NONE
SPAC23C11.01	NONE
SPAC23C11.02c	RPS23
SPAC23C11.03	MPHOSPH10
SPAC23C11.04c	PNKP
SPAC23C11.05	PPA1|PPA2
SPAC23C11.06c	NONE
SPAC23C11.07	NONE
SPAC23C11.08	NFYB
SPAC23C11.09	AARS1|AARS2
SPAC23C11.10	USB1
SPAC23C11.11	CSNK2A1|CSNK2A2
SPAC23C11.12	CDC26
SPAC23C11.13c	HPRT1|PRTFDC1
SPAC23C11.14	SLC30A1
SPAC23C11.15	SIN3A|SIN3B
SPAC23C11.16	PLK1|PLK2|PLK3
SPAC23C11.17	LETM1|LETM2
SPAC23C4.02	CORO1A|CORO1B|CORO1C
SPAC23C4.03	HASPIN
SPAC23C4.04c	NONE
SPAC23C4.05c	NONE
SPAC23C4.06c	EEF1AKMT3|METTL21A
SPAC23C4.07	NONE
SPAC23C4.08	RHOA|RHOB|RHOC
SPAC23C4.09c	PDCD5
SPAC23C4.10	RAB3IL1|RAB3IP
SPAC23C4.11	ATP5MJ
SPAC23C4.12	CSNK1D|CSNK1E
SPAC23C4.13	BET1|BET1L
SPAC23C4.14	ALG1|ALG1L1P
SPAC23C4.15	POLR2E
SPAC23C4.16c	DAGLA|DAGLB
SPAC23C4.17	NSUN2
SPAC23C4.18c	TOPBP1
SPAC23C4.19	SUPT5H
SPAC23D3.01	NONE
SPAC23D3.02	RFC4
SPAC23D3.03c	TBC1D12|TBC1D14
SPAC23D3.04c	GPD1|GPD1L
SPAC23D3.06c	NUP214
SPAC23D3.07	PSMB7
SPAC23D3.08	NONE
SPAC23D3.09	ACTL6A|ACTL6B
SPAC23D3.10c	NONE
SPAC23D3.11	BDH1|HSD11B2|HSD17B2
SPAC23D3.12	NONE
SPAC23D3.13c	MON2
SPAC23D3.14c	NONE
SPAC23D3.16	LAMTOR4
SPAC23D3.17	NONE
SPAC23E2.01	NONE
SPAC23E2.02	KDM1A|KDM1B
SPAC23E2.03c	NONE
SPAC23G3.01	POLR2B
SPAC23G3.02c	NONE
SPAC23G3.03	NONE
SPAC23G3.04	NONE
SPAC23G3.05c	AKAP10
SPAC23G3.06	NOP58
SPAC23G3.07c	NONE
SPAC23G3.08c	USP45
SPAC23G3.09	TAF4
SPAC23G3.10c	SMARCD1|SMARCD2|SMARCD3
SPAC23G3.11	PSMD11
SPAC23G3.12c	HTRA1|HTRA2|HTRA3|HTRA4
SPAC23H3.02c	PHF5A
SPAC23H3.03c	NPRL2
SPAC23H3.04	NONE
SPAC23H3.05c	RBBP5
SPAC23H3.06	AP3B1|AP3B2
SPAC23H3.07c	MRPS14
SPAC23H3.08c	BUB3
SPAC23H3.09c	NONE
SPAC23H3.10	SMARCC1|SMARCC2
SPAC23H3.11c	NONE
SPAC23H3.12c	NONE
SPAC23H3.13c	NONE
SPAC23H3.14	AVL9
SPAC23H3.15c	NONE
SPAC23H4.01c	OSBPL3
SPAC23H4.02	NONE
SPAC23H4.03c	TMED10
SPAC23H4.04	TRMU
SPAC23H4.05c	NONE
SPAC23H4.06	GLUL
SPAC23H4.07c	SRPRB
SPAC23H4.08	NONE
SPAC23H4.09	PA2G4
SPAC23H4.10c	NONE
SPAC23H4.11c	NONE
SPAC23H4.12	MORF4|MORF4L1|MORF4L2
SPAC23H4.13c	NONE
SPAC23H4.14	VPS39
SPAC23H4.15	TSR1
SPAC23H4.16c	CNOT11
SPAC23H4.17c	CDK19|CDK8
SPAC23H4.18c	RBX1
SPAC23H4.21	NONE
SPAC24B11.05	NONE
SPAC24B11.06c	MAPK11|MAPK12|MAPK13|MAPK14
SPAC24B11.07c	NONE
SPAC24B11.08c	ERGIC3
SPAC24B11.09	MPC2
SPAC24B11.10c	DELE1
SPAC24B11.11c	STK38|STK38L
SPAC24B11.12c	ATP10A|ATP10B|ATP10D
SPAC24B11.13	HMBS
SPAC24B11.14	NONE
SPAC24C9.02c	HCCS
SPAC24C9.03	MVD
SPAC24C9.04	MED9
SPAC24C9.05c	NONE
SPAC24C9.06c	ACO2
SPAC24C9.07c	NONE
SPAC24C9.08	PM20D1
SPAC24C9.09	TARS2
SPAC24C9.10c	MRPS2
SPAC24C9.11	NOM1
SPAC24C9.12c	SHMT1|SHMT2
SPAC24C9.13c	CHCHD1
SPAC24C9.14	YOD1
SPAC24C9.15c	NONE
SPAC24C9.16c	COX7C
SPAC24H6.01c	HHAT|HHATL
SPAC24H6.02c	DNLZ
SPAC24H6.03	CUL3
SPAC24H6.04	GCK|HK1|HK2|HK3
SPAC24H6.05	CDC25A|CDC25B|CDC25C
SPAC24H6.06	TICRR
SPAC24H6.07	RPS9
SPAC24H6.08	NONE
SPAC24H6.09	ARHGEF37|ARHGEF38|DNMBP
SPAC24H6.10c	NONE
SPAC24H6.11c	NONE
SPAC24H6.12c	UBA3
SPAC24H6.13	TMEM63A|TMEM63B|TMEM63C
SPAC25A8.01c	SMARCAD1
SPAC25A8.02	ATG14
SPAC25A8.03c	NDUFAF7
SPAC25B8.01	PGRMC1|PGRMC2
SPAC25B8.02	BRMS1|BRMS1L|SUDS3
SPAC25B8.03	PISD
SPAC25B8.04c	MSS51
SPAC25B8.05	PUS3
SPAC25B8.06c	SARS2
SPAC25B8.07c	HIGD1A|HIGD1B|HIGD1C|HIGD2A|HIGD2B
SPAC25B8.08	RADIL|RASIP1
SPAC25B8.09	NONE
SPAC25B8.10	NONE
SPAC25B8.11	NONE
SPAC25B8.12c	NONE
SPAC25B8.13c	NONE
SPAC25B8.14	CENPO
SPAC25B8.15c	TYW3
SPAC25B8.16	POP1
SPAC25B8.17	HM13
SPAC25B8.18	NONE
SPAC25B8.19c	NONE
SPAC25B8.20	NONE
SPAC25G10.01	TRA2B
SPAC25G10.02	NONE
SPAC25G10.03	NONE
SPAC25G10.04c	NONE
SPAC25G10.05c	NONE
SPAC25G10.06	RPS28
SPAC25G10.07c	KIF11
SPAC25G10.08	EIF3B
SPAC25G10.09c	ITSN1|ITSN2
SPAC25H1.02	JMJD4
SPAC25H1.03	ATG101
SPAC25H1.04	ZUP1
SPAC25H1.05	SARAF
SPAC25H1.06	RBBP4|RBBP7
SPAC25H1.07	EMC1
SPAC25H1.08c	AAMP
SPAC25H1.09	NONE
SPAC25H1.10c	ATP5MK
SPAC26A3.01	NONE
SPAC26A3.02	MUTYH
SPAC26A3.03c	RMI1
SPAC26A3.04	RPL18A
SPAC26A3.05	CLTC|CLTCL1
SPAC26A3.06	BUD23
SPAC26A3.07c	RPL11
SPAC26A3.08	SNRPB|SNRPN
SPAC26A3.09c	CHN1|CHN2
SPAC26A3.10	ACAP1|ACAP2|ACAP3
SPAC26A3.11	NIT2
SPAC26A3.12c	XRN2
SPAC26A3.14c	NONE
SPAC26A3.15c	NUP62|NUP62CL
SPAC26A3.16	UBQLN1|UBQLN2|UBQLN3|UBQLN4
SPAC26A3.17c	GAMT
SPAC26F1.01	DAPP1
SPAC26F1.02	PNN
SPAC26F1.03	PDHA1|PDHA2
SPAC26F1.04c	MECR
SPAC26F1.05	NONE
SPAC26F1.06	BPGM|PGAM1|PGAM2|PGAM4
SPAC26F1.07	NONE
SPAC26F1.08c	NONE
SPAC26F1.09	EVI5|EVI5L|RABGAP1|RABGAP1L|TBC1D1|TBC1D4
SPAC26F1.10c	PTPN1|PTPN2
SPAC26F1.11	NONE
SPAC26F1.12c	HGH1
SPAC26F1.13c	LARS1
SPAC26F1.14c	AIFM1|AIFM3
SPAC26H5.02c	WRNIP1
SPAC26H5.03	CHAF1B
SPAC26H5.04	ARMC8
SPAC26H5.05	CAMTA1|CAMTA2
SPAC26H5.06	POT1
SPAC26H5.07c	TMEM87A|TMEM87B
SPAC26H5.08c	NONE
SPAC26H5.09c	GFOD1|GFOD2
SPAC26H5.10c	EIF5A|EIF5A2
SPAC26H5.11	NONE
SPAC26H5.12	POLRMT
SPAC26H5.13c	LAPTM4B|LAPTM5
SPAC27D7.02c	NONE
SPAC27D7.03c	NONE
SPAC27D7.04	PCBD1|PCBD2
SPAC27D7.05c	NONE
SPAC27D7.06	ETFA
SPAC27D7.07c	SNRPD1
SPAC27D7.08c	METTL16
SPAC27D7.09c	NONE
SPAC27D7.11c	NONE
SPAC27D7.12c	NONE
SPAC27D7.13c	CLIP1|CLIP2|CLIP3|CLIP4
SPAC27D7.14c	CTR9
SPAC27E2.01	NONE
SPAC27E2.02	IMPACT
SPAC27E2.03c	OLA1
SPAC27E2.04c	NONE
SPAC27E2.05	POLD2
SPAC27E2.06c	MARS2
SPAC27E2.07	NONE
SPAC27E2.09	NONE
SPAC27E2.10c	RFC5
SPAC27E2.11c	NONE
SPAC27E2.12	NONE
SPAC27E2.14	NONE
SPAC27F1.02c	TPM3|TPM4
SPAC27F1.03c	UCHL3
SPAC27F1.04c	NUF2
SPAC27F1.05c	NONE
SPAC27F1.06c	FKBP10|FKBP14|FKBP15|FKBP7|FKBP9
SPAC27F1.07	RPN1
SPAC27F1.08	SLC11A1|SLC11A2
SPAC27F1.09c	SF3B1
SPAC27F1.10	NONE
SPAC29A4.02c	EEF1E1|EEF1G
SPAC29A4.03c	MRPS9
SPAC29A4.04c	DKC1
SPAC29A4.05	CALM1|CALM2|CALM3|CALML3|CALML4|CALML5
SPAC29A4.06c	NSRP1
SPAC29A4.07	MED22
SPAC29A4.08c	PRPF19
SPAC29A4.09	NOL12
SPAC29A4.10	NONE
SPAC29A4.11	CHN1|CHN2
SPAC29A4.12c	NONE
SPAC29A4.13	NONE
SPAC29A4.14c	PEX3
SPAC29A4.15	SARS1
SPAC29A4.16	NONE
SPAC29A4.17c	FUNDC1|FUNDC2
SPAC29A4.18	RBBP4|RBBP7
SPAC29A4.19c	ATP13A2|ATP13A3|ATP13A5
SPAC29A4.20	ELP3
SPAC29A4.22	NONE
SPAC29A4.23	NONE
SPAC29B12.01	INO80
SPAC29B12.02c	SETD2
SPAC29B12.03	NONE
SPAC29B12.04	NONE
SPAC29B12.05c	HEMK1
SPAC29B12.06c	CNOT9
SPAC29B12.07	SEC16A|SEC16B
SPAC29B12.08	NONE
SPAC29B12.10c	NONE
SPAC29B12.11c	WBP2|WBP2NL
SPAC29B12.12	NONE
SPAC29B12.13	CENPV|CENPVL2
SPAC29B12.14c	NONE
SPAC29E6.01	BTRC|FBXW11
SPAC29E6.02	PRPF3
SPAC29E6.03c	USO1
SPAC29E6.04	PMF1
SPAC29E6.05c	MSRA
SPAC29E6.06c	CARS1
SPAC29E6.07	NONE
SPAC29E6.08	TBP|TBPL2
SPAC29E6.09	NONE
SPAC29E6.10c	NONE
SPAC2C4.03c	SNRPD2
SPAC2C4.04c	C2orf76
SPAC2C4.05	CNIH1|CNIH2|CNIH3|CNIH4
SPAC2C4.06c	NSUN5
SPAC2C4.07c	DIS3L2
SPAC2C4.08	NONE
SPAC2C4.09	CCDC90B|MCUR1
SPAC2C4.10c	FGFR1OP2|SIKE1
SPAC2C4.11c	PNO1
SPAC2C4.13	ATP6V0B
SPAC2C4.14c	STK24|STK25|STK26
SPAC2C4.15c	UBXN7
SPAC2C4.16c	RPS8
SPAC2C4.17c	NONE
SPAC2E12.02	HSF1|HSF2
SPAC2E12.03c	SLC66A1
SPAC2E12.05	NONE
SPAC2E1P3.01	NONE
SPAC2E1P3.02c	RHAG|RHBG|RHCE|RHCG|RHD
SPAC2E1P3.04	AOC1|AOC2|AOC3
SPAC2E1P3.05c	NONE
SPAC2E1P5.01c	MAN1B1
SPAC2E1P5.02c	NONE
SPAC2E1P5.03	DNAJC1
SPAC2E1P5.04c	PGGT1B
SPAC2E1P5.05	RRP9
SPAC2F3.01	NONE
SPAC2F3.02	NONE
SPAC2F3.03c	POLR1E
SPAC2F3.04c	SSBP1
SPAC2F3.05c	NONE
SPAC2F3.06c	TNPO1|TNPO2
SPAC2F3.07c	NONE
SPAC2F3.08	SLC45A2|SLC45A3
SPAC2F3.09	ALAS1|ALAS2
SPAC2F3.10	VPS54
SPAC2F3.11	PRUNE1|PRUNE2
SPAC2F3.12c	TXNDC9
SPAC2F3.13c	QTRT2
SPAC2F3.14c	FNBP4
SPAC2F3.15	CDK12|CDK13
SPAC2F3.16	RCHY1
SPAC2F3.17c	LSM6
SPAC2F3.18c	RNASEK
SPAC2F7.02c	CTDSP1|CTDSP2|CTDSPL
SPAC2F7.03c	DYRK2|DYRK3|DYRK4
SPAC2F7.04	MED1
SPAC2F7.05c	EIF5
SPAC2F7.06c	DNTT|POLM
SPAC2F7.07c	PHF12
SPAC2F7.08c	SMARCB1
SPAC2F7.09c	NOA1
SPAC2F7.10	ZDHHC13|ZDHHC17
SPAC2F7.11	NONE
SPAC2F7.13c	WARS1
SPAC2F7.14c	EXOSC2
SPAC2F7.15	MRPS35
SPAC2F7.16c	PLD1|PLD2
SPAC2F7.17	MTRF1|MTRF1L
SPAC2G11.02	URB2
SPAC2G11.03c	VPS45
SPAC2G11.04	RBM17
SPAC2G11.05c	PDCD6IP
SPAC2G11.06	VPS4A|VPS4B
SPAC2G11.07c	PPM1G
SPAC2G11.08c	SMN1
SPAC2G11.09	TMEM63A|TMEM63B|TMEM63C
SPAC2G11.10c	MOCS3
SPAC2G11.11c	DHX35
SPAC2G11.12	BLM|WRN
SPAC2G11.13	NONE
SPAC2G11.14	TAF1|TAF1L
SPAC2G11.15c	TGS1
SPAC2H10.01	NONE
SPAC2H10.02c	PSMD9
SPAC2H10.04	NONE
SPAC30.01c	ARFGEF1|ARFGEF2
SPAC30.02c	KTI12
SPAC30.03c	TSN
SPAC30.04c	ABCC1|ABCC2|ABCC3|ABCC6
SPAC30C2.02	DOHH
SPAC30C2.03	NONE
SPAC30C2.04	AIMP1
SPAC30C2.05	CNIH1|CNIH2|CNIH3|CNIH4
SPAC30C2.06c	MSTO1
SPAC30C2.07	FNIP1|FNIP2
SPAC30C2.08	NONE
SPAC30D11.01c	GAA|MGAM|SI
SPAC30D11.02c	NONE
SPAC30D11.03	DDX27
SPAC30D11.04c	NUP153
SPAC30D11.05	AP3S1|AP3S2
SPAC30D11.06c	TMEM184A|TMEM184B|TMEM184C
SPAC30D11.07	NTHL1
SPAC30D11.08c	MTF2|PHF1|PHF19
SPAC30D11.09	CWF19L2
SPAC30D11.10	RAD52
SPAC30D11.11	PAQR3
SPAC30D11.12	RPL38
SPAC30D11.13	UBE2I
SPAC30D11.14c	KHDC4
SPAC31A2.02	TRMT112
SPAC31A2.03	MRPL10
SPAC31A2.04c	PSMB2
SPAC31A2.05c	NIPBL
SPAC31A2.06	MTPAP
SPAC31A2.07c	DDX54
SPAC31A2.08	MRPL23
SPAC31A2.09c	AP2M1
SPAC31A2.10	NONE
SPAC31A2.11c	NONE
SPAC31A2.12	ARRDC1|ARRDC2|ARRDC3|ARRDC4|TXNIP
SPAC31A2.13c	BET1|BET1L
SPAC31A2.14	WDR48
SPAC31A2.15c	DSCC1
SPAC31A2.16	NONE
SPAC31F12.01	NONE
SPAC31G5.01	SF3B4
SPAC31G5.02	NONE
SPAC31G5.03	RPS11
SPAC31G5.04	NONE
SPAC31G5.05c	RPE
SPAC31G5.06	NONE
SPAC31G5.07	NONE
SPAC31G5.08	UROS
SPAC31G5.09c	MAPK1|MAPK3
SPAC31G5.10	TTF1
SPAC31G5.11	NONE
SPAC31G5.12c	MAF1
SPAC31G5.13	PSMD14
SPAC31G5.14	AMT
SPAC31G5.15	NONE
SPAC31G5.16c	DPM1
SPAC31G5.17c	RPS10
SPAC31G5.18c	SDE2
SPAC31G5.19	ATAD2|ATAD2B
SPAC31G5.21	FAM32A
SPAC323.01c	NADK
SPAC323.02c	PSMA5
SPAC323.03c	NONE
SPAC323.04	NONE
SPAC323.05c	HEMK2
SPAC323.06c	NAE1
SPAC323.07c	SLC47A1|SLC47A2
SPAC323.08	RMP64
SPAC328.01c	XPO5
SPAC328.02	ARIH1
SPAC328.03	NONE
SPAC328.04	FIGNL1|SPAST
SPAC328.05	MYEF2
SPAC328.06	NONE
SPAC328.07c	NDFIP1|NDFIP2
SPAC328.08c	RP2|TBCC
SPAC328.09	SLC25A21
SPAC328.10c	RPS5
SPAC32A11.01	NONE
SPAC32A11.02c	NONE
SPAC32A11.03c	NONE
SPAC32A11.04c	EIF2S2
SPAC343.01c	MVK
SPAC343.02	MRPL19
SPAC343.03	ANAPC11
SPAC343.04c	WDR26
SPAC343.05	ATP6V1A
SPAC343.06c	PLSCR1|PLSCR2|PLSCR4
SPAC343.07	NONE
SPAC343.08c	MRPS6
SPAC343.09	NSFL1C|UBXN2A|UBXN2B
SPAC343.10	MTHFR
SPAC343.11c	KDM5A|KDM5B|KDM5C|KDM5D
SPAC343.12	NONE
SPAC343.13	GATB
SPAC343.14c	EIF2B2
SPAC343.15	TRIT1
SPAC343.16	NONE
SPAC343.17c	WDR70
SPAC343.18	RNF4
SPAC343.19	PI4K2A|PI4K2B
SPAC343.20	NONE
SPAC343.21	NONE
SPAC3A11.02	MKRN2
SPAC3A11.03	METTL23
SPAC3A11.04	BSCL2
SPAC3A11.05c	SYNE4
SPAC3A11.06	SNX8
SPAC3A11.07	NONE
SPAC3A11.08	CUL4A|CUL4B
SPAC3A11.09	NONE
SPAC3A11.10c	DPEP1|DPEP2|DPEP3
SPAC3A11.11c	AKR7A2|AKR7A3|AKR7L
SPAC3A11.12c	PSMC3
SPAC3A11.13	PFDN6
SPAC3A11.14c	KIFC1
SPAC3A12.02	PPA1|PPA2
SPAC3A12.03c	ZNRF3
SPAC3A12.04c	RPP30
SPAC3A12.05c	TAF2
SPAC3A12.06c	SLC8B1
SPAC3A12.07	POLR2J|POLR2J2
SPAC3A12.08	THEM4|THEM5
SPAC3A12.09c	NONE
SPAC3A12.10	RPL18A
SPAC3A12.11c	RBM22
SPAC3A12.12	ATPAF1
SPAC3A12.13c	EIF3J
SPAC3A12.14	CALM1|CALM2|CALM3|CALML3|CALML4|CALML5
SPAC3A12.15	VPS53
SPAC3A12.16c	TIMM17A|TIMM17B
SPAC3A12.17c	NONE
SPAC3A12.18	G6PD
SPAC3A12.19	MRPL41
SPAC3C7.01c	SACM1L
SPAC3C7.02c	NONE
SPAC3C7.03c	RAD51C
SPAC3C7.04	NONE
SPAC3C7.05c	NONE
SPAC3C7.06c	CILK1|MAK|MOK
SPAC3C7.07c	ATE1
SPAC3C7.08c	NONE
SPAC3C7.09	NONE
SPAC3C7.10	PEX13
SPAC3C7.11c	CANX|CLGN
SPAC3C7.12	DCTN1
SPAC3C7.13c	H6PD
SPAC3C7.14c	NONE
SPAC3F10.02c	NONE
SPAC3F10.03	GARS1
SPAC3F10.04	GSS
SPAC3F10.05c	NONE
SPAC3F10.06c	NONE
SPAC3F10.07c	CHIC1|CHIC2|GOLGA7|GOLGA7B
SPAC3F10.08c	FSAF1
SPAC3F10.09	NONE
SPAC3F10.10c	NONE
SPAC3F10.11c	ABCC1|ABCC2|ABCC3|ABCC6
SPAC3F10.12c	NONE
SPAC3F10.13	NONE
SPAC3F10.15c	NONE
SPAC3F10.16c	LSG1
SPAC3F10.17	LTV1
SPAC3F10.18c	RPL41
SPAC3F10.19	NONE
SPAC3G6.01	CHD1|CHD2
SPAC3G6.02	SEM1
SPAC3G6.03c	ASMTL
SPAC3G6.04	NONE
SPAC3G6.05	MPV17
SPAC3G6.06c	FEN1
SPAC3G6.07	NONE
SPAC3G6.08	GFER
SPAC3G6.09c	NONE
SPAC3G6.10c	VPS51
SPAC3G6.11	DDX11
SPAC3G6.13c	RPL41
SPAC3G9.01	NONE
SPAC3G9.02	CBR4
SPAC3G9.03	RPL23
SPAC3G9.04	SSU72
SPAC3G9.05	GIT1|GIT2
SPAC3G9.06	FARSA
SPAC3G9.07c	HDAC1|HDAC2
SPAC3G9.08	ING2|ING3|ING4|ING5
SPAC3G9.09c	EIF2S1
SPAC3G9.10c	EXOSC4
SPAC3G9.11c	NONE
SPAC3G9.12	CLASP1|CLASP2
SPAC3G9.13c	WARS2
SPAC3G9.14	RFX1|RFX2|RFX3|RFX4
SPAC3G9.15c	DNTTIP2
